text,label
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), nodal skin eruptions (nodal skin eruptions), dischromic  patches (dischromic  patches).",Fungal Infection
"Bệnh nhân có các triệu chứng: skin rash (skin rash), nodal skin eruptions (nodal skin eruptions), dischromic  patches (dischromic  patches).",Fungal Infection
"Bệnh nhân có các triệu chứng: itching (itching), nodal skin eruptions (nodal skin eruptions), dischromic  patches (dischromic  patches).",Fungal Infection
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), dischromic  patches (dischromic  patches).",Fungal Infection
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), nodal skin eruptions (nodal skin eruptions).",Fungal Infection
"Bệnh nhân có các triệu chứng: skin rash (skin rash), nodal skin eruptions (nodal skin eruptions), dischromic  patches (dischromic  patches).",Fungal Infection
"Bệnh nhân có các triệu chứng: itching (itching), nodal skin eruptions (nodal skin eruptions), dischromic  patches (dischromic  patches).",Fungal Infection
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), dischromic  patches (dischromic  patches).",Fungal Infection
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), nodal skin eruptions (nodal skin eruptions).",Fungal Infection
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), nodal skin eruptions (nodal skin eruptions), dischromic  patches (dischromic  patches).",Fungal Infection
"Bệnh nhân có các triệu chứng: continuous sneezing (continuous sneezing), shivering (shivering), chills (chills), watering from eyes (watering from eyes).",Allergy
"Bệnh nhân có các triệu chứng: shivering (shivering), chills (chills), watering from eyes (watering from eyes).",Allergy
"Bệnh nhân có các triệu chứng: continuous sneezing (continuous sneezing), chills (chills), watering from eyes (watering from eyes).",Allergy
"Bệnh nhân có các triệu chứng: continuous sneezing (continuous sneezing), shivering (shivering), watering from eyes (watering from eyes).",Allergy
"Bệnh nhân có các triệu chứng: continuous sneezing (continuous sneezing), shivering (shivering), chills (chills).",Allergy
"Bệnh nhân có các triệu chứng: shivering (shivering), chills (chills), watering from eyes (watering from eyes).",Allergy
"Bệnh nhân có các triệu chứng: continuous sneezing (continuous sneezing), chills (chills), watering from eyes (watering from eyes).",Allergy
"Bệnh nhân có các triệu chứng: continuous sneezing (continuous sneezing), shivering (shivering), watering from eyes (watering from eyes).",Allergy
"Bệnh nhân có các triệu chứng: continuous sneezing (continuous sneezing), shivering (shivering), chills (chills).",Allergy
"Bệnh nhân có các triệu chứng: continuous sneezing (continuous sneezing), shivering (shivering), chills (chills), watering from eyes (watering from eyes).",Allergy
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), acidity (acidity), ulcers on tongue (ulcers on tongue), vomiting (vomiting), cough (cough), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), ulcers on tongue (ulcers on tongue), vomiting (vomiting), cough (cough), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), acidity (acidity), vomiting (vomiting), cough (cough), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), acidity (acidity), ulcers on tongue (ulcers on tongue), cough (cough), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), acidity (acidity), ulcers on tongue (ulcers on tongue), vomiting (vomiting), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), acidity (acidity), ulcers on tongue (ulcers on tongue), vomiting (vomiting), cough (cough).",GERD
"Bệnh nhân có các triệu chứng: acidity (acidity), ulcers on tongue (ulcers on tongue), vomiting (vomiting), cough (cough), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), ulcers on tongue (ulcers on tongue), vomiting (vomiting), cough (cough), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), acidity (acidity), vomiting (vomiting), cough (cough), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: stomach pain (stomach pain), acidity (acidity), ulcers on tongue (ulcers on tongue), cough (cough), chest pain (chest pain).",GERD
"Bệnh nhân có các triệu chứng: itching (itching), vomiting (vomiting), yellowish skin (yellowish skin), nausea (nausea), loss of appetite (loss of appetite), abdominal pain (abdominal pain), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: vomiting (vomiting), yellowish skin (yellowish skin), nausea (nausea), loss of appetite (loss of appetite), abdominal pain (abdominal pain), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), yellowish skin (yellowish skin), nausea (nausea), loss of appetite (loss of appetite), abdominal pain (abdominal pain), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), vomiting (vomiting), nausea (nausea), loss of appetite (loss of appetite), abdominal pain (abdominal pain), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), vomiting (vomiting), yellowish skin (yellowish skin), loss of appetite (loss of appetite), abdominal pain (abdominal pain), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), vomiting (vomiting), yellowish skin (yellowish skin), nausea (nausea), abdominal pain (abdominal pain), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), vomiting (vomiting), yellowish skin (yellowish skin), nausea (nausea), loss of appetite (loss of appetite), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), vomiting (vomiting), yellowish skin (yellowish skin), nausea (nausea), loss of appetite (loss of appetite), abdominal pain (abdominal pain).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), vomiting (vomiting), yellowish skin (yellowish skin), nausea (nausea), loss of appetite (loss of appetite), abdominal pain (abdominal pain), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), vomiting (vomiting), yellowish skin (yellowish skin), nausea (nausea), loss of appetite (loss of appetite), abdominal pain (abdominal pain), yellowing of eyes (yellowing of eyes).",Chronic Cholestasis
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), stomach pain (stomach pain), burning micturition (burning micturition), spotting  urination (spotting  urination).",Drug Reaction
"Bệnh nhân có các triệu chứng: itching (itching), stomach pain (stomach pain), burning micturition (burning micturition), spotting  urination (spotting  urination).",Drug Reaction
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), burning micturition (burning micturition), spotting  urination (spotting  urination).",Drug Reaction
"Bệnh nhân có các triệu chứng: itching (itching), skin rash (skin rash), stomach pain (stomach pain), spotting  urination (spotting  urination).",Drug Reaction
